idx,name,price,team,xfpl,position
15,Pedro Porro,5.9,Spurs,6.157441082394131,Defender
16,James Tarkowski,4.6,Everton,6.124485892221421,Defender
17,Vitalii Mykolenko,4.6,Everton,5.637763170640244,Defender
6,Cole Palmer,5.8,Chelsea,12.40445916137661,Midfielder
7,Son Heung-min,10.1,Spurs,9.732372688340083,Midfielder
8,Richarlison de Andrade,6.9,Spurs,9.256474487919643,Midfielder
9,Phil Foden,8.1,Man City,8.222266423488298,Midfielder
0,Erling Haaland,14.3,Man City,10.51036282306163,Forward
1,Dominic Solanke,7.2,Bournemouth,8.9230997045099,Forward
2,Nicolas Jackson,6.8,Chelsea,8.749606299212598,Forward
20,Jordan Pickford,4.6,Everton,5.572823487998472,Goalkeeper
