Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,12/08/2023 15:00,Amex Stadium,Brighton,Luton,4 - 1
20,2,19/08/2023 15:00,Molineux Stadium,Wolves,Brighton,1 - 4
24,3,26/08/2023 17:30,Amex Stadium,Brighton,West Ham,1 - 3
33,4,02/09/2023 17:30,Amex Stadium,Brighton,Newcastle,3 - 1
45,5,16/09/2023 15:00,Old Trafford,Man Utd,Brighton,1 - 3
53,6,24/09/2023 14:00,Amex Stadium,Brighton,Bournemouth,3 - 1
61,7,30/09/2023 12:30,Villa Park,Aston Villa,Brighton,6 - 1
72,8,08/10/2023 14:00,Amex Stadium,Brighton,Liverpool,2 - 2
86,9,21/10/2023 15:00,Etihad Stadium,Man City,Brighton,2 - 1
94,10,29/10/2023 14:00,Amex Stadium,Brighton,Fulham,1 - 1
103,11,04/11/2023 15:00,Goodison Park,Everton,Brighton,1 - 1
114,12,12/11/2023 14:00,Amex Stadium,Brighton,Sheffield Utd,1 - 1
128,13,25/11/2023 15:00,The City Ground,Nottingham Forest,Brighton,2 - 3
135,14,03/12/2023 14:00,Stamford Bridge,Chelsea,Brighton,3 - 2
142,15,06/12/2023 19:30,Amex Stadium,Brighton,Brentford,2 - 1
152,16,09/12/2023 15:00,Amex Stadium,Brighton,Burnley,1 - 1
161,17,17/12/2023 14:00,Emirates Stadium,Arsenal,Brighton,2 - 0
172,18,21/12/2023 20:00,Selhurst Park,Crystal Palace,Brighton,1 - 1
184,19,28/12/2023 19:30,Amex Stadium,Brighton,Spurs,4 - 2
199,20,02/01/2024 19:30,London Stadium,West Ham,Brighton,0 - 0
204,21,22/01/2024 19:45,Amex Stadium,Brighton,Wolves,0 - 0
213,22,30/01/2024 19:45,Kenilworth Road,Luton,Brighton,4 - 0
224,23,03/02/2024 15:00,Amex Stadium,Brighton,Crystal Palace,4 - 1
238,24,10/02/2024 15:00,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 1
249,25,18/02/2024 14:00,Bramall Lane,Sheffield Utd,Brighton,0 - 5
254,26,24/02/2024 15:00,Amex Stadium,Brighton,Everton,1 - 1
264,27,02/03/2024 15:00,Craven Cottage,Fulham,Brighton,3 - 0
274,28,10/03/2024 14:00,Amex Stadium,Brighton,Nottingham Forest,1 - 0
282,29,25/04/2024 20:00,Amex Stadium,Brighton,Man City,
295,30,31/03/2024 14:00,Anfield,Liverpool,Brighton,2 - 1
303,31,03/04/2024 19:30,Gtech Community Stadium,Brentford,Brighton,
312,32,06/04/2024 17:30,Amex Stadium,Brighton,Arsenal,
324,33,13/04/2024 15:00,Turf Moor,Burnley,Brighton,
332,34,20/04/2024 15:00,Amex Stadium,Brighton,Chelsea,
342,35,28/04/2024 14:00,Vitality Stadium,Bournemouth,Brighton,
353,36,04/05/2024 15:00,Amex Stadium,Brighton,Aston Villa,
366,37,11/05/2024 15:00,St. James' Park,Newcastle,Brighton,
373,38,19/05/2024 16:00,Amex Stadium,Brighton,Man Utd,
