Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,12/08/2023 15:00,Bramall Lane,Sheffield Utd,Crystal Palace,0 - 1
12,2,21/08/2023 20:00,Selhurst Park,Crystal Palace,Arsenal,0 - 1
23,3,26/08/2023 15:00,Gtech Community Stadium,Brentford,Crystal Palace,1 - 1
36,4,03/09/2023 14:00,Selhurst Park,Crystal Palace,Wolves,3 - 2
41,5,16/09/2023 15:00,Villa Park,Aston Villa,Crystal Palace,3 - 1
56,6,23/09/2023 15:00,Selhurst Park,Crystal Palace,Fulham,0 - 0
65,7,30/09/2023 15:00,Old Trafford,Man Utd,Crystal Palace,0 - 1
74,8,07/10/2023 17:30,Selhurst Park,Crystal Palace,Nottingham Forest,0 - 0
87,9,21/10/2023 15:00,St. James' Park,Newcastle,Crystal Palace,4 - 0
96,10,27/10/2023 20:00,Selhurst Park,Crystal Palace,Spurs,1 - 2
102,11,04/11/2023 15:00,Turf Moor,Burnley,Crystal Palace,0 - 2
116,12,11/11/2023 15:00,Selhurst Park,Crystal Palace,Everton,2 - 3
125,13,25/11/2023 15:00,Kenilworth Road,Luton,Crystal Palace,2 - 1
140,14,03/12/2023 14:00,London Stadium,West Ham,Crystal Palace,1 - 1
149,15,06/12/2023 19:30,Selhurst Park,Crystal Palace,Bournemouth,0 - 2
153,16,09/12/2023 12:30,Selhurst Park,Crystal Palace,Liverpool,1 - 2
167,17,16/12/2023 15:00,Etihad Stadium,Man City,Crystal Palace,2 - 2
172,18,21/12/2023 20:00,Selhurst Park,Crystal Palace,Brighton,1 - 1
186,19,27/12/2023 19:30,Stamford Bridge,Chelsea,Crystal Palace,2 - 1
192,20,30/12/2023 15:00,Selhurst Park,Crystal Palace,Brentford,3 - 1
201,21,20/01/2024 12:30,Emirates Stadium,Arsenal,Crystal Palace,5 - 0
218,22,30/01/2024 20:00,Selhurst Park,Crystal Palace,Sheffield Utd,3 - 2
224,23,03/02/2024 15:00,Amex Stadium,Brighton,Crystal Palace,4 - 1
232,24,12/02/2024 20:00,Selhurst Park,Crystal Palace,Chelsea,1 - 3
243,25,19/02/2024 20:00,Goodison Park,Everton,Crystal Palace,1 - 1
256,26,24/02/2024 15:00,Selhurst Park,Crystal Palace,Burnley,3 - 0
270,27,02/03/2024 15:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 1
276,28,09/03/2024 15:00,Selhurst Park,Crystal Palace,Luton,1 - 1
284,29,24/04/2024 20:00,Selhurst Park,Crystal Palace,Newcastle,
298,30,30/03/2024 15:00,The City Ground,Nottingham Forest,Crystal Palace,1 - 1
302,31,02/04/2024 19:45,Vitality Stadium,Bournemouth,Crystal Palace,
313,32,06/04/2024 12:30,Selhurst Park,Crystal Palace,Man City,
326,33,14/04/2024 14:00,Anfield,Liverpool,Crystal Palace,
333,34,21/04/2024 15:00,Selhurst Park,Crystal Palace,West Ham,
344,35,27/04/2024 15:00,Craven Cottage,Fulham,Crystal Palace,
356,36,04/05/2024 15:00,Selhurst Park,Crystal Palace,Man Utd,
370,37,11/05/2024 15:00,Molineux Stadium,Wolves,Crystal Palace,
376,38,19/05/2024 16:00,Selhurst Park,Crystal Palace,Aston Villa,
