Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,12/08/2023 15:00,Goodison Park,Everton,Fulham,0 - 1
11,2,20/08/2023 14:00,Villa Park,Aston Villa,Everton,4 - 0
27,3,26/08/2023 15:00,Goodison Park,Everton,Wolves,0 - 1
40,4,02/09/2023 12:30,Bramall Lane,Sheffield Utd,Everton,2 - 2
43,5,17/09/2023 16:30,Goodison Park,Everton,Arsenal,0 - 1
52,6,23/09/2023 17:30,Gtech Community Stadium,Brentford,Everton,1 - 3
63,7,30/09/2023 15:00,Goodison Park,Everton,Luton,1 - 2
75,8,07/10/2023 15:00,Goodison Park,Everton,Bournemouth,3 - 0
85,9,21/10/2023 12:30,Anfield,Liverpool,Everton,2 - 0
99,10,29/10/2023 13:00,London Stadium,West Ham,Everton,0 - 1
103,11,04/11/2023 15:00,Goodison Park,Everton,Brighton,1 - 1
116,12,11/11/2023 15:00,Selhurst Park,Crystal Palace,Everton,2 - 3
123,13,26/11/2023 16:30,Goodison Park,Everton,Man Utd,0 - 3
139,14,02/12/2023 17:30,The City Ground,Nottingham Forest,Everton,0 - 1
143,15,07/12/2023 19:30,Goodison Park,Everton,Newcastle,3 - 0
154,16,10/12/2023 14:00,Goodison Park,Everton,Chelsea,2 - 0
164,17,16/12/2023 17:30,Turf Moor,Burnley,Everton,0 - 2
178,18,23/12/2023 15:00,Tottenham Hotspur Stadium,Spurs,Everton,2 - 1
187,19,27/12/2023 20:15,Goodison Park,Everton,Man City,1 - 3
200,20,30/12/2023 15:00,Molineux Stadium,Wolves,Everton,3 - 0
207,21,14/01/2024 14:00,Goodison Park,Everton,Aston Villa,0 - 0
212,22,30/01/2024 19:45,Craven Cottage,Fulham,Everton,0 - 0
227,23,03/02/2024 12:30,Goodison Park,Everton,Spurs,2 - 2
236,24,10/02/2024 12:30,Etihad Stadium,Man City,Everton,2 - 0
243,25,19/02/2024 20:00,Goodison Park,Everton,Crystal Palace,1 - 1
254,26,24/02/2024 15:00,Amex Stadium,Brighton,Everton,1 - 1
263,27,02/03/2024 15:00,Goodison Park,Everton,West Ham,1 - 3
278,28,09/03/2024 12:30,Old Trafford,Man Utd,Everton,2 - 0
285,29,24/04/2024 20:00,Goodison Park,Everton,Liverpool,
292,30,30/03/2024 15:00,Vitality Stadium,Bournemouth,Everton,2 - 1
308,31,02/04/2024 19:30,St. James' Park,Newcastle,Everton,
314,32,06/04/2024 15:00,Goodison Park,Everton,Burnley,
325,33,15/04/2024 20:00,Stamford Bridge,Chelsea,Everton,
334,34,21/04/2024 13:30,Goodison Park,Everton,Nottingham Forest,
343,35,27/04/2024 17:30,Goodison Park,Everton,Brentford,
358,36,04/05/2024 15:00,Kenilworth Road,Luton,Everton,
363,37,11/05/2024 15:00,Goodison Park,Everton,Sheffield Utd,
371,38,19/05/2024 16:00,Emirates Stadium,Arsenal,Everton,
