Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,12/08/2023 15:00,Goodison Park,Everton,Fulham,0 - 1
13,2,19/08/2023 15:00,Craven Cottage,Fulham,Brentford,0 - 3
21,3,26/08/2023 15:00,Emirates Stadium,Arsenal,Fulham,2 - 2
39,4,02/09/2023 15:00,Etihad Stadium,Man City,Fulham,5 - 1
44,5,16/09/2023 15:00,Craven Cottage,Fulham,Luton,1 - 0
56,6,23/09/2023 15:00,Selhurst Park,Crystal Palace,Fulham,0 - 0
64,7,02/10/2023 20:00,Craven Cottage,Fulham,Chelsea,0 - 2
76,8,07/10/2023 15:00,Craven Cottage,Fulham,Sheffield Utd,3 - 1
90,9,23/10/2023 20:00,Tottenham Hotspur Stadium,Spurs,Fulham,2 - 0
94,10,29/10/2023 14:00,Amex Stadium,Brighton,Fulham,1 - 1
104,11,04/11/2023 12:30,Craven Cottage,Fulham,Man Utd,0 - 1
112,12,12/11/2023 14:00,Villa Park,Aston Villa,Fulham,3 - 1
124,13,27/11/2023 20:00,Craven Cottage,Fulham,Wolves,3 - 2
136,14,03/12/2023 14:00,Anfield,Liverpool,Fulham,4 - 3
144,15,06/12/2023 19:30,Craven Cottage,Fulham,Nottingham Forest,5 - 0
155,16,10/12/2023 14:00,Craven Cottage,Fulham,West Ham,5 - 0
168,17,16/12/2023 15:00,St. James' Park,Newcastle,Fulham,3 - 0
173,18,23/12/2023 15:00,Craven Cottage,Fulham,Burnley,0 - 2
182,19,26/12/2023 15:00,Vitality Stadium,Bournemouth,Fulham,3 - 0
193,20,31/12/2023 14:00,Craven Cottage,Fulham,Arsenal,2 - 1
206,21,13/01/2024 12:30,Stamford Bridge,Chelsea,Fulham,1 - 0
212,22,30/01/2024 19:45,Craven Cottage,Fulham,Everton,0 - 0
225,23,03/02/2024 15:00,Turf Moor,Burnley,Fulham,2 - 2
233,24,10/02/2024 15:00,Craven Cottage,Fulham,Bournemouth,3 - 1
244,25,17/02/2024 15:00,Craven Cottage,Fulham,Aston Villa,1 - 2
258,26,24/02/2024 15:00,Old Trafford,Man Utd,Fulham,1 - 2
264,27,02/03/2024 15:00,Craven Cottage,Fulham,Brighton,3 - 0
280,28,09/03/2024 15:00,Molineux Stadium,Wolves,Fulham,2 - 1
286,29,16/03/2024 17:30,Craven Cottage,Fulham,Spurs,3 - 0
299,30,30/03/2024 15:00,Bramall Lane,Sheffield Utd,Fulham,3 - 3
305,31,02/04/2024 19:30,The City Ground,Nottingham Forest,Fulham,
315,32,06/04/2024 15:00,Craven Cottage,Fulham,Newcastle,
330,33,14/04/2024 14:00,London Stadium,West Ham,Fulham,
335,34,21/04/2024 16:30,Craven Cottage,Fulham,Liverpool,
344,35,27/04/2024 15:00,Craven Cottage,Fulham,Crystal Palace,
352,36,04/05/2024 15:00,Gtech Community Stadium,Brentford,Fulham,
364,37,11/05/2024 15:00,Craven Cottage,Fulham,Man City,
378,38,19/05/2024 16:00,Kenilworth Road,Luton,Fulham,
