Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,13/08/2023 16:30,Stamford Bridge,Chelsea,Liverpool,1 - 1
14,2,19/08/2023 15:00,Anfield,Liverpool,Bournemouth,3 - 1
29,3,27/08/2023 16:30,St. James' Park,Newcastle,Liverpool,1 - 2
37,4,03/09/2023 14:00,Anfield,Liverpool,Aston Villa,3 - 0
50,5,16/09/2023 12:30,Molineux Stadium,Wolves,Liverpool,1 - 3
57,6,24/09/2023 14:00,Anfield,Liverpool,West Ham,3 - 1
68,7,30/09/2023 17:30,Tottenham Hotspur Stadium,Spurs,Liverpool,2 - 1
72,8,08/10/2023 14:00,Amex Stadium,Brighton,Liverpool,2 - 2
85,9,21/10/2023 12:30,Anfield,Liverpool,Everton,2 - 0
97,10,29/10/2023 14:00,Anfield,Liverpool,Nottingham Forest,3 - 0
105,11,05/11/2023 16:30,Kenilworth Road,Luton,Liverpool,1 - 1
117,12,12/11/2023 14:00,Anfield,Liverpool,Brentford,3 - 0
126,13,25/11/2023 12:30,Etihad Stadium,Man City,Liverpool,1 - 1
136,14,03/12/2023 14:00,Anfield,Liverpool,Fulham,4 - 3
146,15,06/12/2023 19:30,Bramall Lane,Sheffield Utd,Liverpool,0 - 2
153,16,09/12/2023 12:30,Selhurst Park,Crystal Palace,Liverpool,1 - 2
166,17,17/12/2023 16:30,Anfield,Liverpool,Man Utd,0 - 0
174,18,23/12/2023 17:30,Anfield,Liverpool,Arsenal,1 - 1
185,19,26/12/2023 17:30,Turf Moor,Burnley,Liverpool,0 - 2
194,20,01/01/2024 20:00,Anfield,Liverpool,Newcastle,4 - 2
202,21,21/01/2024 16:30,Vitality Stadium,Bournemouth,Liverpool,0 - 4
219,22,31/01/2024 20:15,Anfield,Liverpool,Chelsea,4 - 1
221,23,04/02/2024 16:30,Emirates Stadium,Arsenal,Liverpool,3 - 1
234,24,10/02/2024 15:00,Anfield,Liverpool,Burnley,3 - 1
241,25,17/02/2024 12:30,Gtech Community Stadium,Brentford,Liverpool,1 - 4
257,26,21/02/2024 19:30,Anfield,Liverpool,Luton,4 - 1
268,27,02/03/2024 15:00,The City Ground,Nottingham Forest,Liverpool,0 - 1
277,28,10/03/2024 15:45,Anfield,Liverpool,Man City,1 - 1
285,29,24/04/2024 20:00,Goodison Park,Everton,Liverpool,
295,30,31/03/2024 14:00,Anfield,Liverpool,Brighton,2 - 1
309,31,04/04/2024 19:30,Anfield,Liverpool,Sheffield Utd,
317,32,07/04/2024 15:30,Old Trafford,Man Utd,Liverpool,
326,33,14/04/2024 14:00,Anfield,Liverpool,Crystal Palace,
335,34,21/04/2024 16:30,Craven Cottage,Fulham,Liverpool,
349,35,27/04/2024 12:30,London Stadium,West Ham,Liverpool,
357,36,04/05/2024 15:00,Anfield,Liverpool,Spurs,
361,37,11/05/2024 15:00,Villa Park,Aston Villa,Liverpool,
377,38,19/05/2024 16:00,Anfield,Liverpool,Wolves,
