Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,11/08/2023 20:00,Turf Moor,Burnley,Man City,0 - 3
16,2,19/08/2023 20:00,Etihad Stadium,Man City,Newcastle,1 - 0
30,3,27/08/2023 14:00,Bramall Lane,Sheffield Utd,Man City,1 - 2
39,4,02/09/2023 15:00,Etihad Stadium,Man City,Fulham,5 - 1
49,5,16/09/2023 15:00,London Stadium,West Ham,Man City,1 - 3
59,6,23/09/2023 15:00,Etihad Stadium,Man City,Nottingham Forest,2 - 0
70,7,30/09/2023 15:00,Molineux Stadium,Wolves,Man City,2 - 1
71,8,08/10/2023 16:30,Emirates Stadium,Arsenal,Man City,1 - 0
86,9,21/10/2023 15:00,Etihad Stadium,Man City,Brighton,2 - 1
98,10,29/10/2023 15:30,Old Trafford,Man Utd,Man City,0 - 3
106,11,04/11/2023 15:00,Etihad Stadium,Man City,Bournemouth,6 - 1
115,12,12/11/2023 16:30,Stamford Bridge,Chelsea,Man City,4 - 4
126,13,25/11/2023 12:30,Etihad Stadium,Man City,Liverpool,1 - 1
137,14,03/12/2023 16:30,Etihad Stadium,Man City,Spurs,3 - 3
141,15,06/12/2023 20:15,Villa Park,Aston Villa,Man City,1 - 0
156,16,10/12/2023 14:00,Kenilworth Road,Luton,Man City,1 - 2
167,17,16/12/2023 15:00,Etihad Stadium,Man City,Crystal Palace,2 - 2
176,18,20/02/2024 19:30,Etihad Stadium,Man City,Brentford,1 - 0
187,19,27/12/2023 20:15,Goodison Park,Everton,Man City,1 - 3
196,20,30/12/2023 15:00,Etihad Stadium,Man City,Sheffield Utd,2 - 0
209,21,13/01/2024 17:30,St. James' Park,Newcastle,Man City,2 - 3
220,22,31/01/2024 19:30,Etihad Stadium,Man City,Burnley,3 - 1
223,23,05/02/2024 20:00,Gtech Community Stadium,Brentford,Man City,1 - 3
236,24,10/02/2024 12:30,Etihad Stadium,Man City,Everton,2 - 0
246,25,17/02/2024 17:30,Etihad Stadium,Man City,Chelsea,1 - 1
253,26,24/02/2024 17:30,Vitality Stadium,Bournemouth,Man City,0 - 1
266,27,03/03/2024 15:30,Etihad Stadium,Man City,Man Utd,3 - 1
277,28,10/03/2024 15:45,Anfield,Liverpool,Man City,1 - 1
282,29,25/04/2024 20:00,Amex Stadium,Brighton,Man City,
296,30,31/03/2024 16:30,Etihad Stadium,Man City,Arsenal,0 - 0
310,31,03/04/2024 20:15,Etihad Stadium,Man City,Aston Villa,
313,32,06/04/2024 12:30,Selhurst Park,Crystal Palace,Man City,
327,33,13/04/2024 15:00,Etihad Stadium,Man City,Luton,
339,34,20/04/2024 15:00,Tottenham Hotspur Stadium,Spurs,Man City,
347,35,28/04/2024 16:30,The City Ground,Nottingham Forest,Man City,
359,36,04/05/2024 15:00,Etihad Stadium,Man City,Wolves,
364,37,11/05/2024 15:00,Craven Cottage,Fulham,Man City,
379,38,19/05/2024 16:00,Etihad Stadium,Man City,West Ham,
