Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,12/08/2023 15:00,Bramall Lane,Sheffield Utd,Crystal Palace,0 - 1
17,2,18/08/2023 19:45,The City Ground,Nottingham Forest,Sheffield Utd,2 - 1
30,3,27/08/2023 14:00,Bramall Lane,Sheffield Utd,Man City,1 - 2
40,4,02/09/2023 12:30,Bramall Lane,Sheffield Utd,Everton,2 - 2
48,5,16/09/2023 15:00,Tottenham Hotspur Stadium,Spurs,Sheffield Utd,2 - 1
60,6,24/09/2023 16:30,Bramall Lane,Sheffield Utd,Newcastle,0 - 8
69,7,30/09/2023 15:00,London Stadium,West Ham,Sheffield Utd,2 - 0
76,8,07/10/2023 15:00,Craven Cottage,Fulham,Sheffield Utd,3 - 1
89,9,21/10/2023 20:00,Bramall Lane,Sheffield Utd,Man Utd,1 - 2
91,10,28/10/2023 15:00,Emirates Stadium,Arsenal,Sheffield Utd,5 - 0
109,11,04/11/2023 15:00,Bramall Lane,Sheffield Utd,Wolves,2 - 1
114,12,12/11/2023 14:00,Amex Stadium,Brighton,Sheffield Utd,1 - 1
129,13,25/11/2023 15:00,Bramall Lane,Sheffield Utd,Bournemouth,1 - 3
134,14,02/12/2023 15:00,Turf Moor,Burnley,Sheffield Utd,5 - 0
146,15,06/12/2023 19:30,Bramall Lane,Sheffield Utd,Liverpool,0 - 2
158,16,09/12/2023 15:00,Bramall Lane,Sheffield Utd,Brentford,1 - 0
165,17,16/12/2023 15:00,Stamford Bridge,Chelsea,Sheffield Utd,2 - 0
171,18,22/12/2023 20:00,Villa Park,Aston Villa,Sheffield Utd,1 - 1
190,19,26/12/2023 15:00,Bramall Lane,Sheffield Utd,Luton,2 - 3
196,20,30/12/2023 15:00,Etihad Stadium,Man City,Sheffield Utd,2 - 0
210,21,21/01/2024 14:00,Bramall Lane,Sheffield Utd,West Ham,2 - 2
218,22,30/01/2024 20:00,Selhurst Park,Crystal Palace,Sheffield Utd,3 - 2
230,23,03/02/2024 17:30,Bramall Lane,Sheffield Utd,Aston Villa,0 - 5
235,24,10/02/2024 15:00,Kenilworth Road,Luton,Sheffield Utd,1 - 3
249,25,18/02/2024 14:00,Bramall Lane,Sheffield Utd,Brighton,0 - 5
260,26,25/02/2024 13:30,Molineux Stadium,Wolves,Sheffield Utd,1 - 0
269,27,04/03/2024 20:00,Bramall Lane,Sheffield Utd,Arsenal,0 - 6
273,28,09/03/2024 15:00,Vitality Stadium,Bournemouth,Sheffield Utd,2 - 2
288,29,24/04/2024 20:00,Old Trafford,Man Utd,Sheffield Utd,
299,30,30/03/2024 15:00,Bramall Lane,Sheffield Utd,Fulham,3 - 3
309,31,04/04/2024 19:30,Anfield,Liverpool,Sheffield Utd,
318,32,07/04/2024 17:30,Bramall Lane,Sheffield Utd,Chelsea,
323,33,13/04/2024 15:00,Gtech Community Stadium,Brentford,Sheffield Utd,
338,34,20/04/2024 15:00,Bramall Lane,Sheffield Utd,Burnley,
346,35,27/04/2024 15:00,St. James' Park,Newcastle,Sheffield Utd,
360,36,04/05/2024 15:00,Bramall Lane,Sheffield Utd,Nottingham Forest,
363,37,11/05/2024 15:00,Goodison Park,Everton,Sheffield Utd,
380,38,19/05/2024 16:00,Bramall Lane,Sheffield Utd,Spurs,
