Match Number,Round Number,Date,Location,Home Team,Away Team,Result
3,1,12/08/2023 15:00,Vitality Stadium,Bournemouth,West Ham,1 - 1
19,2,20/08/2023 16:30,London Stadium,West Ham,Chelsea,3 - 1
24,3,26/08/2023 17:30,Amex Stadium,Brighton,West Ham,1 - 3
38,4,01/09/2023 20:00,Kenilworth Road,Luton,West Ham,1 - 2
49,5,16/09/2023 15:00,London Stadium,West Ham,Man City,1 - 3
57,6,24/09/2023 14:00,Anfield,Liverpool,West Ham,3 - 1
69,7,30/09/2023 15:00,London Stadium,West Ham,Sheffield Utd,2 - 0
79,8,08/10/2023 14:00,London Stadium,West Ham,Newcastle,2 - 2
81,9,22/10/2023 16:30,Villa Park,Aston Villa,West Ham,4 - 1
99,10,29/10/2023 13:00,London Stadium,West Ham,Everton,0 - 1
101,11,04/11/2023 15:00,Gtech Community Stadium,Brentford,West Ham,3 - 2
119,12,12/11/2023 14:00,London Stadium,West Ham,Nottingham Forest,3 - 2
122,13,25/11/2023 15:00,Turf Moor,Burnley,West Ham,1 - 2
140,14,03/12/2023 14:00,London Stadium,West Ham,Crystal Palace,1 - 1
147,15,07/12/2023 20:15,Tottenham Hotspur Stadium,Spurs,West Ham,1 - 2
155,16,10/12/2023 14:00,Craven Cottage,Fulham,West Ham,5 - 0
170,17,17/12/2023 14:00,London Stadium,West Ham,Wolves,3 - 0
179,18,23/12/2023 12:30,London Stadium,West Ham,Man Utd,2 - 0
181,19,28/12/2023 20:15,Emirates Stadium,Arsenal,West Ham,0 - 2
199,20,02/01/2024 19:30,London Stadium,West Ham,Brighton,0 - 0
210,21,21/01/2024 14:00,Bramall Lane,Sheffield Utd,West Ham,2 - 2
216,22,01/02/2024 19:30,London Stadium,West Ham,Bournemouth,1 - 1
228,23,04/02/2024 14:00,Old Trafford,Man Utd,West Ham,3 - 0
239,24,11/02/2024 14:00,London Stadium,West Ham,Arsenal,0 - 6
248,25,17/02/2024 15:00,The City Ground,Nottingham Forest,West Ham,2 - 0
259,26,26/02/2024 20:00,London Stadium,West Ham,Brentford,4 - 2
263,27,02/03/2024 15:00,Goodison Park,Everton,West Ham,1 - 3
279,28,10/03/2024 14:00,London Stadium,West Ham,Burnley,2 - 2
289,29,17/03/2024 14:00,London Stadium,West Ham,Aston Villa,1 - 1
297,30,30/03/2024 12:30,St. James' Park,Newcastle,West Ham,4 - 3
306,31,02/04/2024 20:15,London Stadium,West Ham,Spurs,
320,32,06/04/2024 15:00,Molineux Stadium,Wolves,West Ham,
330,33,14/04/2024 14:00,London Stadium,West Ham,Fulham,
333,34,21/04/2024 15:00,Selhurst Park,Crystal Palace,West Ham,
349,35,27/04/2024 12:30,London Stadium,West Ham,Liverpool,
355,36,04/05/2024 15:00,Stamford Bridge,Chelsea,West Ham,
369,37,11/05/2024 15:00,London Stadium,West Ham,Luton,
379,38,19/05/2024 16:00,Etihad Stadium,Man City,West Ham,
