name,url
Erling Haaland,https://i.ibb.co/pRhkmwZ/Erling-Haaland-pizza-chart.png
Dominic Solanke,https://i.ibb.co/tXPbSXG/Dominic-Solanke-pizza-chart.png
Nicolas Jackson,https://i.ibb.co/R2b333L/Nicolas-Jackson-pizza-chart.png
Dominic Calvert-Lewin,https://i.ibb.co/yq5y484/Dominic-Calvert-Lewin-pizza-chart.png
Ollie Watkins,https://i.ibb.co/54qHX2C/Ollie-Watkins-pizza-chart.png
Julián Álvarez,https://i.ibb.co/4NtGLv5/Juli-n-lvarez-pizza-chart.png
Alexander Isak,https://i.ibb.co/HNkL1Cx/Alexander-Isak-pizza-chart.png
Carlton Morris,https://i.ibb.co/Gc805s4/Carlton-Morris-pizza-chart.png
Antoine Semenyo,https://i.ibb.co/C6BtgSp/Antoine-Semenyo-pizza-chart.png
Darwin Núñez Ribeiro,https://i.ibb.co/GVNwwRX/Darwin-N-ez-Ribeiro-pizza-chart.png
