name,url
Cole Palmer,https://i.ibb.co/gyn2hyh/Cole-Palmer-pizza-chart.png
Son Heung-min,https://i.ibb.co/g3P8jw9/Son-Heung-min-pizza-chart.png
Richarlison de Andrade,https://i.ibb.co/mbz0LvS/Richarlison-de-Andrade-pizza-chart.png
Phil Foden,https://i.ibb.co/FVqb0Wt/Phil-Foden-pizza-chart.png
Abdoulaye Doucouré,https://i.ibb.co/q7Qcg7p/Abdoulaye-Doucour-pizza-chart.png
Raheem Sterling,https://i.ibb.co/yY78g6T/Raheem-Sterling-pizza-chart.png
Brennan Johnson,https://i.ibb.co/56xPcfz/Brennan-Johnson-pizza-chart.png
Leon Bailey,https://i.ibb.co/mSjs0wK/Leon-Bailey-pizza-chart.png
James Maddison,https://i.ibb.co/bmq1h3N/James-Maddison-pizza-chart.png
Douglas Luiz Soares de Paulo,https://i.ibb.co/vDffSt6/Douglas-Luiz-Soares-de-Paulo-pizza-chart.png
