Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,13/08/2023 14:00,Gtech Community Stadium,Brentford,Spurs,2 - 2
13,2,19/08/2023 15:00,Craven Cottage,Fulham,Brentford,0 - 3
23,3,26/08/2023 15:00,Gtech Community Stadium,Brentford,Crystal Palace,1 - 1
32,4,02/09/2023 15:00,Gtech Community Stadium,Brentford,Bournemouth,2 - 2
46,5,16/09/2023 17:30,St. James' Park,Newcastle,Brentford,1 - 0
52,6,23/09/2023 17:30,Gtech Community Stadium,Brentford,Everton,1 - 3
67,7,01/10/2023 14:00,The City Ground,Nottingham Forest,Brentford,1 - 1
78,8,07/10/2023 15:00,Old Trafford,Man Utd,Brentford,2 - 1
83,9,21/10/2023 15:00,Gtech Community Stadium,Brentford,Burnley,3 - 0
95,10,28/10/2023 12:30,Stamford Bridge,Chelsea,Brentford,0 - 2
101,11,04/11/2023 15:00,Gtech Community Stadium,Brentford,West Ham,3 - 2
117,12,12/11/2023 14:00,Anfield,Liverpool,Brentford,3 - 0
121,13,25/11/2023 17:30,Gtech Community Stadium,Brentford,Arsenal,0 - 1
133,14,02/12/2023 15:00,Gtech Community Stadium,Brentford,Luton,3 - 1
142,15,06/12/2023 19:30,Amex Stadium,Brighton,Brentford,2 - 1
158,16,09/12/2023 15:00,Bramall Lane,Sheffield Utd,Brentford,1 - 0
163,17,17/12/2023 14:00,Gtech Community Stadium,Brentford,Aston Villa,1 - 2
176,18,20/02/2024 19:30,Etihad Stadium,Man City,Brentford,1 - 0
183,19,27/12/2023 19:30,Gtech Community Stadium,Brentford,Wolves,1 - 4
192,20,30/12/2023 15:00,Selhurst Park,Crystal Palace,Brentford,3 - 1
203,21,20/01/2024 17:30,Gtech Community Stadium,Brentford,Nottingham Forest,3 - 2
215,22,31/01/2024 19:30,Tottenham Hotspur Stadium,Spurs,Brentford,3 - 2
223,23,05/02/2024 20:00,Gtech Community Stadium,Brentford,Man City,1 - 3
240,24,10/02/2024 15:00,Molineux Stadium,Wolves,Brentford,0 - 2
241,25,17/02/2024 12:30,Gtech Community Stadium,Brentford,Liverpool,1 - 4
259,26,26/02/2024 20:00,London Stadium,West Ham,Brentford,4 - 2
261,27,02/03/2024 15:00,Gtech Community Stadium,Brentford,Chelsea,2 - 2
271,28,09/03/2024 17:30,Emirates Stadium,Arsenal,Brentford,2 - 1
283,29,16/03/2024 15:00,Turf Moor,Burnley,Brentford,2 - 1
293,30,30/03/2024 20:00,Gtech Community Stadium,Brentford,Man Utd,1 - 1
303,31,03/04/2024 19:30,Gtech Community Stadium,Brentford,Brighton,
311,32,06/04/2024 15:00,Villa Park,Aston Villa,Brentford,
323,33,13/04/2024 15:00,Gtech Community Stadium,Brentford,Sheffield Utd,
336,34,20/04/2024 15:00,Kenilworth Road,Luton,Brentford,
343,35,27/04/2024 17:30,Goodison Park,Everton,Brentford,
352,36,04/05/2024 15:00,Gtech Community Stadium,Brentford,Fulham,
362,37,11/05/2024 15:00,Vitality Stadium,Bournemouth,Brentford,
372,38,19/05/2024 16:00,Gtech Community Stadium,Brentford,Newcastle,
