Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,11/08/2023 20:00,Turf Moor,Burnley,Man City,0 - 3
15,2,03/10/2023 19:30,Kenilworth Road,Luton,Burnley,1 - 2
25,3,27/08/2023 14:00,Turf Moor,Burnley,Aston Villa,1 - 3
34,4,02/09/2023 15:00,Turf Moor,Burnley,Spurs,2 - 5
47,5,18/09/2023 19:45,The City Ground,Nottingham Forest,Burnley,1 - 1
54,6,23/09/2023 20:00,Turf Moor,Burnley,Man Utd,0 - 1
66,7,30/09/2023 15:00,St. James' Park,Newcastle,Burnley,2 - 0
73,8,07/10/2023 15:00,Turf Moor,Burnley,Chelsea,1 - 4
83,9,21/10/2023 15:00,Gtech Community Stadium,Brentford,Burnley,3 - 0
93,10,28/10/2023 15:00,Vitality Stadium,Bournemouth,Burnley,2 - 1
102,11,04/11/2023 15:00,Turf Moor,Burnley,Crystal Palace,0 - 2
111,12,11/11/2023 15:00,Emirates Stadium,Arsenal,Burnley,3 - 1
122,13,25/11/2023 15:00,Turf Moor,Burnley,West Ham,1 - 2
134,14,02/12/2023 15:00,Turf Moor,Burnley,Sheffield Utd,5 - 0
148,15,05/12/2023 19:30,Molineux Stadium,Wolves,Burnley,1 - 0
152,16,09/12/2023 15:00,Amex Stadium,Brighton,Burnley,1 - 1
164,17,16/12/2023 17:30,Turf Moor,Burnley,Everton,0 - 2
173,18,23/12/2023 15:00,Craven Cottage,Fulham,Burnley,0 - 2
185,19,26/12/2023 17:30,Turf Moor,Burnley,Liverpool,0 - 2
191,20,30/12/2023 15:00,Villa Park,Aston Villa,Burnley,3 - 2
205,21,12/01/2024 19:45,Turf Moor,Burnley,Luton,1 - 1
220,22,31/01/2024 19:30,Etihad Stadium,Man City,Burnley,3 - 1
225,23,03/02/2024 15:00,Turf Moor,Burnley,Fulham,2 - 2
234,24,10/02/2024 15:00,Anfield,Liverpool,Burnley,3 - 1
242,25,17/02/2024 15:00,Turf Moor,Burnley,Arsenal,0 - 5
256,26,24/02/2024 15:00,Selhurst Park,Crystal Palace,Burnley,3 - 0
262,27,03/03/2024 13:00,Turf Moor,Burnley,Bournemouth,0 - 2
279,28,10/03/2024 14:00,London Stadium,West Ham,Burnley,2 - 2
283,29,16/03/2024 15:00,Turf Moor,Burnley,Brentford,2 - 1
294,30,30/03/2024 15:00,Stamford Bridge,Chelsea,Burnley,2 - 2
304,31,02/04/2024 19:45,Turf Moor,Burnley,Wolves,
314,32,06/04/2024 15:00,Goodison Park,Everton,Burnley,
324,33,13/04/2024 15:00,Turf Moor,Burnley,Brighton,
338,34,20/04/2024 15:00,Bramall Lane,Sheffield Utd,Burnley,
345,35,27/04/2024 15:00,Old Trafford,Man Utd,Burnley,
354,36,04/05/2024 15:00,Turf Moor,Burnley,Newcastle,
368,37,11/05/2024 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,
374,38,19/05/2024 16:00,Turf Moor,Burnley,Nottingham Forest,
