Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,12/08/2023 15:00,Amex Stadium,Brighton,Luton,4 - 1
15,2,03/10/2023 19:30,Kenilworth Road,Luton,Burnley,1 - 2
26,3,25/08/2023 20:00,Stamford Bridge,Chelsea,Luton,3 - 0
38,4,01/09/2023 20:00,Kenilworth Road,Luton,West Ham,1 - 2
44,5,16/09/2023 15:00,Craven Cottage,Fulham,Luton,1 - 0
58,6,23/09/2023 15:00,Kenilworth Road,Luton,Wolves,1 - 1
63,7,30/09/2023 15:00,Goodison Park,Everton,Luton,1 - 2
77,8,07/10/2023 12:30,Kenilworth Road,Luton,Spurs,0 - 1
88,9,21/10/2023 15:00,The City Ground,Nottingham Forest,Luton,2 - 2
92,10,29/10/2023 14:00,Villa Park,Aston Villa,Luton,3 - 1
105,11,05/11/2023 16:30,Kenilworth Road,Luton,Liverpool,1 - 1
118,12,11/11/2023 15:00,Old Trafford,Man Utd,Luton,1 - 0
125,13,25/11/2023 15:00,Kenilworth Road,Luton,Crystal Palace,2 - 1
133,14,02/12/2023 15:00,Gtech Community Stadium,Brentford,Luton,3 - 1
145,15,05/12/2023 20:15,Kenilworth Road,Luton,Arsenal,3 - 4
156,16,10/12/2023 14:00,Kenilworth Road,Luton,Man City,1 - 2
162,17,13/03/2024 19:30,Vitality Stadium,Bournemouth,Luton,4 - 3
175,18,23/12/2023 15:00,Kenilworth Road,Luton,Newcastle,1 - 0
190,19,26/12/2023 15:00,Bramall Lane,Sheffield Utd,Luton,2 - 3
195,20,30/12/2023 12:30,Kenilworth Road,Luton,Chelsea,2 - 3
205,21,12/01/2024 19:45,Turf Moor,Burnley,Luton,1 - 1
213,22,30/01/2024 19:45,Kenilworth Road,Luton,Brighton,4 - 0
229,23,03/02/2024 15:00,St. James' Park,Newcastle,Luton,4 - 4
235,24,10/02/2024 15:00,Kenilworth Road,Luton,Sheffield Utd,1 - 3
245,25,18/02/2024 16:30,Kenilworth Road,Luton,Man Utd,1 - 2
257,26,21/02/2024 19:30,Anfield,Liverpool,Luton,4 - 1
265,27,02/03/2024 17:30,Kenilworth Road,Luton,Aston Villa,2 - 3
276,28,09/03/2024 15:00,Selhurst Park,Crystal Palace,Luton,1 - 1
287,29,16/03/2024 15:00,Kenilworth Road,Luton,Nottingham Forest,1 - 1
300,30,30/03/2024 15:00,Tottenham Hotspur Stadium,Spurs,Luton,2 - 1
301,31,03/04/2024 19:30,Emirates Stadium,Arsenal,Luton,
316,32,06/04/2024 15:00,Kenilworth Road,Luton,Bournemouth,
327,33,13/04/2024 15:00,Etihad Stadium,Man City,Luton,
336,34,20/04/2024 15:00,Kenilworth Road,Luton,Brentford,
350,35,27/04/2024 15:00,Molineux Stadium,Wolves,Luton,
358,36,04/05/2024 15:00,Kenilworth Road,Luton,Everton,
369,37,11/05/2024 15:00,London Stadium,West Ham,Luton,
378,38,19/05/2024 16:00,Kenilworth Road,Luton,Fulham,
