Match Number,Round Number,Date,Location,Home Team,Away Team,Result
10,1,14/08/2023 20:00,Old Trafford,Man Utd,Wolves,1 - 0
18,2,19/08/2023 17:30,Tottenham Hotspur Stadium,Spurs,Man Utd,2 - 0
28,3,26/08/2023 15:00,Old Trafford,Man Utd,Nottingham Forest,3 - 2
31,4,03/09/2023 16:30,Emirates Stadium,Arsenal,Man Utd,3 - 1
45,5,16/09/2023 15:00,Old Trafford,Man Utd,Brighton,1 - 3
54,6,23/09/2023 20:00,Turf Moor,Burnley,Man Utd,0 - 1
65,7,30/09/2023 15:00,Old Trafford,Man Utd,Crystal Palace,0 - 1
78,8,07/10/2023 15:00,Old Trafford,Man Utd,Brentford,2 - 1
89,9,21/10/2023 20:00,Bramall Lane,Sheffield Utd,Man Utd,1 - 2
98,10,29/10/2023 15:30,Old Trafford,Man Utd,Man City,0 - 3
104,11,04/11/2023 12:30,Craven Cottage,Fulham,Man Utd,0 - 1
118,12,11/11/2023 15:00,Old Trafford,Man Utd,Luton,1 - 0
123,13,26/11/2023 16:30,Goodison Park,Everton,Man Utd,0 - 3
138,14,02/12/2023 20:00,St. James' Park,Newcastle,Man Utd,1 - 0
150,15,06/12/2023 20:15,Old Trafford,Man Utd,Chelsea,2 - 1
157,16,09/12/2023 15:00,Old Trafford,Man Utd,Bournemouth,0 - 3
166,17,17/12/2023 16:30,Anfield,Liverpool,Man Utd,0 - 0
179,18,23/12/2023 12:30,London Stadium,West Ham,Man Utd,2 - 0
188,19,26/12/2023 20:00,Old Trafford,Man Utd,Aston Villa,3 - 2
197,20,30/12/2023 17:30,The City Ground,Nottingham Forest,Man Utd,2 - 1
208,21,14/01/2024 16:30,Old Trafford,Man Utd,Spurs,2 - 2
217,22,01/02/2024 20:15,Molineux Stadium,Wolves,Man Utd,3 - 4
228,23,04/02/2024 14:00,Old Trafford,Man Utd,West Ham,3 - 0
231,24,11/02/2024 16:30,Villa Park,Aston Villa,Man Utd,1 - 2
245,25,18/02/2024 16:30,Kenilworth Road,Luton,Man Utd,1 - 2
258,26,24/02/2024 15:00,Old Trafford,Man Utd,Fulham,1 - 2
266,27,03/03/2024 15:30,Etihad Stadium,Man City,Man Utd,3 - 1
278,28,09/03/2024 12:30,Old Trafford,Man Utd,Everton,2 - 0
288,29,24/04/2024 20:00,Old Trafford,Man Utd,Sheffield Utd,
293,30,30/03/2024 20:00,Gtech Community Stadium,Brentford,Man Utd,1 - 1
307,31,04/04/2024 20:15,Stamford Bridge,Chelsea,Man Utd,
317,32,07/04/2024 15:30,Old Trafford,Man Utd,Liverpool,
322,33,13/04/2024 17:30,Vitality Stadium,Bournemouth,Man Utd,
337,34,20/04/2024 15:00,Old Trafford,Man Utd,Newcastle,
345,35,27/04/2024 15:00,Old Trafford,Man Utd,Burnley,
356,36,04/05/2024 15:00,Selhurst Park,Crystal Palace,Man Utd,
365,37,11/05/2024 15:00,Old Trafford,Man Utd,Arsenal,
373,38,19/05/2024 16:00,Amex Stadium,Brighton,Man Utd,
