Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,12/08/2023 17:30,St. James' Park,Newcastle,Aston Villa,5 - 1
16,2,19/08/2023 20:00,Etihad Stadium,Man City,Newcastle,1 - 0
29,3,27/08/2023 16:30,St. James' Park,Newcastle,Liverpool,1 - 2
33,4,02/09/2023 17:30,Amex Stadium,Brighton,Newcastle,3 - 1
46,5,16/09/2023 17:30,St. James' Park,Newcastle,Brentford,1 - 0
60,6,24/09/2023 16:30,Bramall Lane,Sheffield Utd,Newcastle,0 - 8
66,7,30/09/2023 15:00,St. James' Park,Newcastle,Burnley,2 - 0
79,8,08/10/2023 14:00,London Stadium,West Ham,Newcastle,2 - 2
87,9,21/10/2023 15:00,St. James' Park,Newcastle,Crystal Palace,4 - 0
100,10,28/10/2023 17:30,Molineux Stadium,Wolves,Newcastle,2 - 2
107,11,04/11/2023 17:30,St. James' Park,Newcastle,Arsenal,1 - 0
113,12,11/11/2023 17:30,Vitality Stadium,Bournemouth,Newcastle,2 - 0
127,13,25/11/2023 15:00,St. James' Park,Newcastle,Chelsea,4 - 1
138,14,02/12/2023 20:00,St. James' Park,Newcastle,Man Utd,1 - 0
143,15,07/12/2023 19:30,Goodison Park,Everton,Newcastle,3 - 0
159,16,10/12/2023 16:30,Tottenham Hotspur Stadium,Spurs,Newcastle,4 - 1
168,17,16/12/2023 15:00,St. James' Park,Newcastle,Fulham,3 - 0
175,18,23/12/2023 15:00,Kenilworth Road,Luton,Newcastle,1 - 0
189,19,26/12/2023 12:30,St. James' Park,Newcastle,Nottingham Forest,1 - 3
194,20,01/01/2024 20:00,Anfield,Liverpool,Newcastle,4 - 2
209,21,13/01/2024 17:30,St. James' Park,Newcastle,Man City,2 - 3
211,22,30/01/2024 20:15,Villa Park,Aston Villa,Newcastle,1 - 3
229,23,03/02/2024 15:00,St. James' Park,Newcastle,Luton,4 - 4
237,24,10/02/2024 17:30,The City Ground,Nottingham Forest,Newcastle,2 - 3
247,25,17/02/2024 15:00,St. James' Park,Newcastle,Bournemouth,2 - 2
251,26,24/02/2024 20:00,Emirates Stadium,Arsenal,Newcastle,4 - 1
267,27,02/03/2024 15:00,St. James' Park,Newcastle,Wolves,3 - 0
275,28,11/03/2024 20:00,Stamford Bridge,Chelsea,Newcastle,3 - 2
284,29,24/04/2024 20:00,Selhurst Park,Crystal Palace,Newcastle,
297,30,30/03/2024 12:30,St. James' Park,Newcastle,West Ham,4 - 3
308,31,02/04/2024 19:30,St. James' Park,Newcastle,Everton,
315,32,06/04/2024 15:00,Craven Cottage,Fulham,Newcastle,
328,33,13/04/2024 12:30,St. James' Park,Newcastle,Spurs,
337,34,20/04/2024 15:00,Old Trafford,Man Utd,Newcastle,
346,35,27/04/2024 15:00,St. James' Park,Newcastle,Sheffield Utd,
354,36,04/05/2024 15:00,Turf Moor,Burnley,Newcastle,
366,37,11/05/2024 15:00,St. James' Park,Newcastle,Brighton,
372,38,19/05/2024 16:00,Gtech Community Stadium,Brentford,Newcastle,
