Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,12/08/2023 13:00,Emirates Stadium,Arsenal,Nottingham Forest,2 - 1
17,2,18/08/2023 19:45,The City Ground,Nottingham Forest,Sheffield Utd,2 - 1
28,3,26/08/2023 15:00,Old Trafford,Man Utd,Nottingham Forest,3 - 2
35,4,02/09/2023 15:00,Stamford Bridge,Chelsea,Nottingham Forest,0 - 1
47,5,18/09/2023 19:45,The City Ground,Nottingham Forest,Burnley,1 - 1
59,6,23/09/2023 15:00,Etihad Stadium,Man City,Nottingham Forest,2 - 0
67,7,01/10/2023 14:00,The City Ground,Nottingham Forest,Brentford,1 - 1
74,8,07/10/2023 17:30,Selhurst Park,Crystal Palace,Nottingham Forest,0 - 0
88,9,21/10/2023 15:00,The City Ground,Nottingham Forest,Luton,2 - 2
97,10,29/10/2023 14:00,Anfield,Liverpool,Nottingham Forest,3 - 0
108,11,05/11/2023 14:00,The City Ground,Nottingham Forest,Aston Villa,2 - 0
119,12,12/11/2023 14:00,London Stadium,West Ham,Nottingham Forest,3 - 2
128,13,25/11/2023 15:00,The City Ground,Nottingham Forest,Brighton,2 - 3
139,14,02/12/2023 17:30,The City Ground,Nottingham Forest,Everton,0 - 1
144,15,06/12/2023 19:30,Craven Cottage,Fulham,Nottingham Forest,5 - 0
160,16,09/12/2023 15:00,Molineux Stadium,Wolves,Nottingham Forest,1 - 1
169,17,15/12/2023 20:00,The City Ground,Nottingham Forest,Spurs,0 - 2
177,18,23/12/2023 15:00,The City Ground,Nottingham Forest,Bournemouth,2 - 3
189,19,26/12/2023 12:30,St. James' Park,Newcastle,Nottingham Forest,1 - 3
197,20,30/12/2023 17:30,The City Ground,Nottingham Forest,Man Utd,2 - 1
203,21,20/01/2024 17:30,Gtech Community Stadium,Brentford,Nottingham Forest,3 - 2
214,22,30/01/2024 19:30,The City Ground,Nottingham Forest,Arsenal,1 - 2
222,23,04/02/2024 14:00,Vitality Stadium,Bournemouth,Nottingham Forest,1 - 1
237,24,10/02/2024 17:30,The City Ground,Nottingham Forest,Newcastle,2 - 3
248,25,17/02/2024 15:00,The City Ground,Nottingham Forest,West Ham,2 - 0
252,26,24/02/2024 15:00,Villa Park,Aston Villa,Nottingham Forest,4 - 2
268,27,02/03/2024 15:00,The City Ground,Nottingham Forest,Liverpool,0 - 1
274,28,10/03/2024 14:00,Amex Stadium,Brighton,Nottingham Forest,1 - 0
287,29,16/03/2024 15:00,Kenilworth Road,Luton,Nottingham Forest,1 - 1
298,30,30/03/2024 15:00,The City Ground,Nottingham Forest,Crystal Palace,1 - 1
305,31,02/04/2024 19:30,The City Ground,Nottingham Forest,Fulham,
319,32,07/04/2024 18:00,Tottenham Hotspur Stadium,Spurs,Nottingham Forest,
329,33,13/04/2024 15:00,The City Ground,Nottingham Forest,Wolves,
334,34,21/04/2024 13:30,Goodison Park,Everton,Nottingham Forest,
347,35,28/04/2024 16:30,The City Ground,Nottingham Forest,Man City,
360,36,04/05/2024 15:00,Bramall Lane,Sheffield Utd,Nottingham Forest,
367,37,11/05/2024 15:00,The City Ground,Nottingham Forest,Chelsea,
374,38,19/05/2024 16:00,Turf Moor,Burnley,Nottingham Forest,
