Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,13/08/2023 14:00,Gtech Community Stadium,Brentford,Spurs,2 - 2
18,2,19/08/2023 17:30,Tottenham Hotspur Stadium,Spurs,Man Utd,2 - 0
22,3,26/08/2023 12:30,Vitality Stadium,Bournemouth,Spurs,0 - 2
34,4,02/09/2023 15:00,Turf Moor,Burnley,Spurs,2 - 5
48,5,16/09/2023 15:00,Tottenham Hotspur Stadium,Spurs,Sheffield Utd,2 - 1
51,6,24/09/2023 14:00,Emirates Stadium,Arsenal,Spurs,2 - 2
68,7,30/09/2023 17:30,Tottenham Hotspur Stadium,Spurs,Liverpool,2 - 1
77,8,07/10/2023 12:30,Kenilworth Road,Luton,Spurs,0 - 1
90,9,23/10/2023 20:00,Tottenham Hotspur Stadium,Spurs,Fulham,2 - 0
96,10,27/10/2023 20:00,Selhurst Park,Crystal Palace,Spurs,1 - 2
110,11,06/11/2023 20:00,Tottenham Hotspur Stadium,Spurs,Chelsea,1 - 4
120,12,11/11/2023 12:30,Molineux Stadium,Wolves,Spurs,2 - 1
130,13,26/11/2023 14:00,Tottenham Hotspur Stadium,Spurs,Aston Villa,1 - 2
137,14,03/12/2023 16:30,Etihad Stadium,Man City,Spurs,3 - 3
147,15,07/12/2023 20:15,Tottenham Hotspur Stadium,Spurs,West Ham,1 - 2
159,16,10/12/2023 16:30,Tottenham Hotspur Stadium,Spurs,Newcastle,4 - 1
169,17,15/12/2023 20:00,The City Ground,Nottingham Forest,Spurs,0 - 2
178,18,23/12/2023 15:00,Tottenham Hotspur Stadium,Spurs,Everton,2 - 1
184,19,28/12/2023 19:30,Amex Stadium,Brighton,Spurs,4 - 2
198,20,31/12/2023 14:00,Tottenham Hotspur Stadium,Spurs,Bournemouth,3 - 1
208,21,14/01/2024 16:30,Old Trafford,Man Utd,Spurs,2 - 2
215,22,31/01/2024 19:30,Tottenham Hotspur Stadium,Spurs,Brentford,3 - 2
227,23,03/02/2024 12:30,Goodison Park,Everton,Spurs,2 - 2
238,24,10/02/2024 15:00,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 1
250,25,17/02/2024 15:00,Tottenham Hotspur Stadium,Spurs,Wolves,1 - 2
255,26,23/02/2024 20:00,Stamford Bridge,Chelsea,Spurs,
270,27,02/03/2024 15:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 1
272,28,10/03/2024 13:00,Villa Park,Aston Villa,Spurs,0 - 4
286,29,16/03/2024 17:30,Craven Cottage,Fulham,Spurs,3 - 0
300,30,30/03/2024 15:00,Tottenham Hotspur Stadium,Spurs,Luton,2 - 1
306,31,02/04/2024 20:15,London Stadium,West Ham,Spurs,
319,32,07/04/2024 18:00,Tottenham Hotspur Stadium,Spurs,Nottingham Forest,
328,33,13/04/2024 12:30,St. James' Park,Newcastle,Spurs,
339,34,20/04/2024 15:00,Tottenham Hotspur Stadium,Spurs,Man City,
348,35,28/04/2024 14:00,Tottenham Hotspur Stadium,Spurs,Arsenal,
357,36,04/05/2024 15:00,Anfield,Liverpool,Spurs,
368,37,11/05/2024 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,
380,38,19/05/2024 16:00,Bramall Lane,Sheffield Utd,Spurs,
