Match Number,Round Number,Date,Location,Home Team,Away Team,Result
10,1,14/08/2023 20:00,Old Trafford,Man Utd,Wolves,1 - 0
20,2,19/08/2023 15:00,Molineux Stadium,Wolves,Brighton,1 - 4
27,3,26/08/2023 15:00,Goodison Park,Everton,Wolves,0 - 1
36,4,03/09/2023 14:00,Selhurst Park,Crystal Palace,Wolves,3 - 2
50,5,16/09/2023 12:30,Molineux Stadium,Wolves,Liverpool,1 - 3
58,6,23/09/2023 15:00,Kenilworth Road,Luton,Wolves,1 - 1
70,7,30/09/2023 15:00,Molineux Stadium,Wolves,Man City,2 - 1
80,8,08/10/2023 14:00,Molineux Stadium,Wolves,Aston Villa,1 - 1
82,9,21/10/2023 15:00,Vitality Stadium,Bournemouth,Wolves,1 - 2
100,10,28/10/2023 17:30,Molineux Stadium,Wolves,Newcastle,2 - 2
109,11,04/11/2023 15:00,Bramall Lane,Sheffield Utd,Wolves,2 - 1
120,12,11/11/2023 12:30,Molineux Stadium,Wolves,Spurs,2 - 1
124,13,27/11/2023 20:00,Craven Cottage,Fulham,Wolves,3 - 2
131,14,02/12/2023 15:00,Emirates Stadium,Arsenal,Wolves,2 - 1
148,15,05/12/2023 19:30,Molineux Stadium,Wolves,Burnley,1 - 0
160,16,09/12/2023 15:00,Molineux Stadium,Wolves,Nottingham Forest,1 - 1
170,17,17/12/2023 14:00,London Stadium,West Ham,Wolves,3 - 0
180,18,24/12/2023 13:00,Molineux Stadium,Wolves,Chelsea,2 - 1
183,19,27/12/2023 19:30,Gtech Community Stadium,Brentford,Wolves,1 - 4
200,20,30/12/2023 15:00,Molineux Stadium,Wolves,Everton,3 - 0
204,21,22/01/2024 19:45,Amex Stadium,Brighton,Wolves,0 - 0
217,22,01/02/2024 20:15,Molineux Stadium,Wolves,Man Utd,3 - 4
226,23,04/02/2024 14:00,Stamford Bridge,Chelsea,Wolves,2 - 4
240,24,10/02/2024 15:00,Molineux Stadium,Wolves,Brentford,0 - 2
250,25,17/02/2024 15:00,Tottenham Hotspur Stadium,Spurs,Wolves,1 - 2
260,26,25/02/2024 13:30,Molineux Stadium,Wolves,Sheffield Utd,1 - 0
267,27,02/03/2024 15:00,St. James' Park,Newcastle,Wolves,3 - 0
280,28,09/03/2024 15:00,Molineux Stadium,Wolves,Fulham,2 - 1
290,29,24/04/2024 19:45,Molineux Stadium,Wolves,Bournemouth,
291,30,30/03/2024 19:30,Villa Park,Aston Villa,Wolves,2 - 0
304,31,02/04/2024 19:45,Turf Moor,Burnley,Wolves,
320,32,06/04/2024 15:00,Molineux Stadium,Wolves,West Ham,
329,33,13/04/2024 15:00,The City Ground,Nottingham Forest,Wolves,
340,34,20/04/2024 19:30,Molineux Stadium,Wolves,Arsenal,
350,35,27/04/2024 15:00,Molineux Stadium,Wolves,Luton,
359,36,04/05/2024 15:00,Etihad Stadium,Man City,Wolves,
370,37,11/05/2024 15:00,Molineux Stadium,Wolves,Crystal Palace,
377,38,19/05/2024 16:00,Anfield,Liverpool,Wolves,
