name,url
Pedro Porro,https://i.ibb.co/6B2z4Lv/Pedro-Porro-pizza-chart.png
James Tarkowski,https://i.ibb.co/z6MGCJw/James-Tarkowski-pizza-chart.png
Vitalii Mykolenko,https://i.ibb.co/6DrLwGp/Vitalii-Mykolenko-pizza-chart.png
Matty Cash,https://i.ibb.co/6FGbb58/Matty-Cash-pizza-chart.png
Cristian Romero,https://i.ibb.co/GtTS8tm/Cristian-Romero-pizza-chart.png
Jarrad Branthwaite,https://i.ibb.co/jGgDh5x/Jarrad-Branthwaite-pizza-chart.png
Malo Gusto,https://i.ibb.co/R9LPZGH/Malo-Gusto-pizza-chart.png
Destiny Udogie,https://i.ibb.co/hfWhPbY/Destiny-Udogie-pizza-chart.png
Nathan Aké,https://i.ibb.co/RjPTXd1/Nathan-Ak-pizza-chart.png
Ezri Konsa Ngoyo,https://i.ibb.co/3Yxy8rf/Ezri-Konsa-Ngoyo-pizza-chart.png
