name,img-urls,xfpl,xfpl&f,VS,price,chance_playing,charts
Pedro Porro,https://resources.premierleague.com/premierleague/photos/players/250x250/p441164.png,xfpl  6.16,xfpl&f 5.04,VS 'Nottingham Forest',price  5.9,100,https://i.ibb.co/6B2z4Lv/Pedro-Porro-pizza-chart.png
James Tarkowski,https://resources.premierleague.com/premierleague/photos/players/250x250/p17761.png,xfpl  6.12,xfpl&f 3.01,VS 'Burnley',price  4.6,100,https://i.ibb.co/z6MGCJw/James-Tarkowski-pizza-chart.png
Vitalii Mykolenko,https://resources.premierleague.com/premierleague/photos/players/250x250/p224967.png,xfpl  5.64,xfpl&f 2.45,VS 'Burnley',price  4.6,100,https://i.ibb.co/6DrLwGp/Vitalii-Mykolenko-pizza-chart.png
Matty Cash,https://resources.premierleague.com/premierleague/photos/players/250x250/p199796.png,xfpl  5.3,xfpl&f 2.26,VS 'Brentford',price  4.6,0,https://i.ibb.co/6FGbb58/Matty-Cash-pizza-chart.png
Cristian Romero,https://resources.premierleague.com/premierleague/photos/players/250x250/p221632.png,xfpl  5.3,xfpl&f 6.01,VS 'Nottingham Forest',price  5.2,100,https://i.ibb.co/GtTS8tm/Cristian-Romero-pizza-chart.png
Jarrad Branthwaite,https://resources.premierleague.com/premierleague/photos/players/250x250/p480455.png,xfpl  5.07,xfpl&f 2.91,VS 'Burnley',price  4.2,100,https://i.ibb.co/jGgDh5x/Jarrad-Branthwaite-pizza-chart.png
Malo Gusto,https://resources.premierleague.com/premierleague/photos/players/250x250/p482609.png,xfpl  5.01,xfpl&f 4.15,VS 'Sheffield Utd',price  4.3,75,https://i.ibb.co/R9LPZGH/Malo-Gusto-pizza-chart.png
Destiny Udogie,https://resources.premierleague.com/premierleague/photos/players/250x250/p487053.png,xfpl  4.7,xfpl&f 4.41,VS 'Nottingham Forest',price  5.0,100,https://i.ibb.co/hfWhPbY/Destiny-Udogie-pizza-chart.png
Nathan Aké,https://resources.premierleague.com/premierleague/photos/players/250x250/p126184.png,xfpl  4.51,xfpl&f 2.85,VS 'Crystal Palace',price  5.1,100,https://i.ibb.co/RjPTXd1/Nathan-Ak-pizza-chart.png
Ezri Konsa Ngoyo,https://resources.premierleague.com/premierleague/photos/players/250x250/p199798.png,xfpl  4.4,xfpl&f 5.58,VS 'Brentford',price  4.5,100,https://i.ibb.co/3Yxy8rf/Ezri-Konsa-Ngoyo-pizza-chart.png
