name,img-urls,xfpl,xfpl&f,VS,price,chance_playing,charts
Erling Haaland,https://resources.premierleague.com/premierleague/photos/players/250x250/p223094.png,xfpl  10.51,xfpl&f 7.23,VS 'Crystal Palace',price  14.3,100,https://i.ibb.co/pRhkmwZ/Erling-Haaland-pizza-chart.png
Dominic Solanke,https://resources.premierleague.com/premierleague/photos/players/250x250/p154566.png,xfpl  8.92,xfpl&f 8.13,VS 'Luton',price  7.2,100,https://i.ibb.co/tXPbSXG/Dominic-Solanke-pizza-chart.png
Nicolas Jackson,https://resources.premierleague.com/premierleague/photos/players/250x250/p517052.png,xfpl  8.75,xfpl&f 9.82,VS 'Sheffield Utd',price  6.8,100,https://i.ibb.co/R2b333L/Nicolas-Jackson-pizza-chart.png
Dominic Calvert-Lewin,https://resources.premierleague.com/premierleague/photos/players/250x250/p177815.png,xfpl  8.58,xfpl&f 5.27,VS 'Burnley',price  5.8,100,https://i.ibb.co/yq5y484/Dominic-Calvert-Lewin-pizza-chart.png
Ollie Watkins,https://resources.premierleague.com/premierleague/photos/players/250x250/p178301.png,xfpl  8.28,xfpl&f 6.9,VS 'Brentford',price  9.0,75,https://i.ibb.co/54qHX2C/Ollie-Watkins-pizza-chart.png
Julián Álvarez,https://resources.premierleague.com/premierleague/photos/players/250x250/p461358.png,xfpl  7.14,xfpl&f 4.37,VS 'Crystal Palace',price  6.4,100,https://i.ibb.co/4NtGLv5/Juli-n-lvarez-pizza-chart.png
Alexander Isak,https://resources.premierleague.com/premierleague/photos/players/250x250/p219168.png,xfpl  5.65,xfpl&f 6.83,VS 'Fulham',price  7.6,100,https://i.ibb.co/HNkL1Cx/Alexander-Isak-pizza-chart.png
Carlton Morris,https://resources.premierleague.com/premierleague/photos/players/250x250/p156700.png,xfpl  5.49,xfpl&f 4.43,VS 'Bournemouth',price  5.1,100,https://i.ibb.co/Gc805s4/Carlton-Morris-pizza-chart.png
Antoine Semenyo,https://resources.premierleague.com/premierleague/photos/players/250x250/p437730.png,xfpl  5.45,xfpl&f 5.93,VS 'Luton',price  4.5,100,https://i.ibb.co/C6BtgSp/Antoine-Semenyo-pizza-chart.png
Darwin Núñez Ribeiro,https://resources.premierleague.com/premierleague/photos/players/250x250/p447203.png,xfpl  4.27,xfpl&f 3.44,VS 'Man Utd',price  7.5,100,https://i.ibb.co/GVNwwRX/Darwin-N-ez-Ribeiro-pizza-chart.png
