name,img-urls,xfpl,xfpl&f,VS,price,chance_playing,charts
Cole Palmer,https://resources.premierleague.com/premierleague/photos/players/250x250/p244851.png,xfpl  12.4,xfpl&f 14.84,VS 'Sheffield Utd',price  5.8,100,https://i.ibb.co/gyn2hyh/Cole-Palmer-pizza-chart.png
Son Heung-min,https://resources.premierleague.com/premierleague/photos/players/250x250/p85971.png,xfpl  9.73,xfpl&f 10.72,VS 'Nottingham Forest',price  10.1,100,https://i.ibb.co/g3P8jw9/Son-Heung-min-pizza-chart.png
Richarlison de Andrade,https://resources.premierleague.com/premierleague/photos/players/250x250/p212319.png,xfpl  9.26,xfpl&f 2.43,VS 'Nottingham Forest',price  6.9,100,https://i.ibb.co/mbz0LvS/Richarlison-de-Andrade-pizza-chart.png
Phil Foden,https://resources.premierleague.com/premierleague/photos/players/250x250/p209244.png,xfpl  8.22,xfpl&f 8.55,VS 'Crystal Palace',price  8.1,100,https://i.ibb.co/FVqb0Wt/Phil-Foden-pizza-chart.png
Abdoulaye Doucouré,https://resources.premierleague.com/premierleague/photos/players/250x250/p121599.png,xfpl  7.77,xfpl&f 4.95,VS 'Burnley',price  5.5,100,https://i.ibb.co/q7Qcg7p/Abdoulaye-Doucour-pizza-chart.png
Raheem Sterling,https://resources.premierleague.com/premierleague/photos/players/250x250/p103955.png,xfpl  7.61,xfpl&f 4.71,VS 'Sheffield Utd',price  6.9,100,https://i.ibb.co/yY78g6T/Raheem-Sterling-pizza-chart.png
Brennan Johnson,https://resources.premierleague.com/premierleague/photos/players/250x250/p242898.png,xfpl  7.53,xfpl&f 7.92,VS 'Nottingham Forest',price  5.8,100,https://i.ibb.co/56xPcfz/Brennan-Johnson-pizza-chart.png
Leon Bailey,https://resources.premierleague.com/premierleague/photos/players/250x250/p215711.png,xfpl  7.48,xfpl&f 4.82,VS 'Brentford',price  5.7,100,https://i.ibb.co/mSjs0wK/Leon-Bailey-pizza-chart.png
James Maddison,https://resources.premierleague.com/premierleague/photos/players/250x250/p172780.png,xfpl  7.38,xfpl&f 6.59,VS 'Nottingham Forest',price  8.0,100,https://i.ibb.co/bmq1h3N/James-Maddison-pizza-chart.png
Douglas Luiz Soares de Paulo,https://resources.premierleague.com/premierleague/photos/players/250x250/p230046.png,xfpl  7.28,xfpl&f 5.14,VS 'Brentford',price  5.7,100,https://i.ibb.co/vDffSt6/Douglas-Luiz-Soares-de-Paulo-pizza-chart.png
