name,img-urls,xfpl,price,team,position
Pedro Porro,https://resources.premierleague.com/premierleague/photos/players/250x250/p441164.png,xfpl  6.16,price  5.9,Spurs,Defender
James Tarkowski,https://resources.premierleague.com/premierleague/photos/players/250x250/p17761.png,xfpl  6.12,price  4.6,Everton,Defender
Vitalii Mykolenko,https://resources.premierleague.com/premierleague/photos/players/250x250/p224967.png,xfpl  5.64,price  4.6,Everton,Defender
Cole Palmer,https://resources.premierleague.com/premierleague/photos/players/250x250/p244851.png,xfpl  12.4,price  5.8,Chelsea,Midfielder
Son Heung-min,https://resources.premierleague.com/premierleague/photos/players/250x250/p85971.png,xfpl  9.73,price  10.1,Spurs,Midfielder
Richarlison de Andrade,https://resources.premierleague.com/premierleague/photos/players/250x250/p212319.png,xfpl  9.26,price  6.9,Spurs,Midfielder
Phil Foden,https://resources.premierleague.com/premierleague/photos/players/250x250/p209244.png,xfpl  8.22,price  8.1,Man City,Midfielder
Erling Haaland,https://resources.premierleague.com/premierleague/photos/players/250x250/p223094.png,xfpl  10.51,price  14.3,Man City,Forward
Dominic Solanke,https://resources.premierleague.com/premierleague/photos/players/250x250/p154566.png,xfpl  8.92,price  7.2,Bournemouth,Forward
Nicolas Jackson,https://resources.premierleague.com/premierleague/photos/players/250x250/p517052.png,xfpl  8.75,price  6.8,Chelsea,Forward
Jordan Pickford,https://resources.premierleague.com/premierleague/photos/players/250x250/p111234.png,xfpl  5.57,price  4.6,Everton,Goalkeeper
